id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
530,400125100122,QJ122,8,90,,0,1,1,0,ean13,standard,1 VESTIDO LISO 8,2
531,335015100022,QJ22,8,40,,0,1,1,29,ean13,standard,1 CALCA 8,2
532,270035100030,QJ30,8,45,,0,1,1,5,ean13,standard,2 SHORTS ESTAMPADO 8,2
533,234045100039,QJ39,8,50,,0,1,1,11,ean13,standard,1 SHORT C STRASS 8,2
534,260045100046,QJ46,8,40,,0,1,1,1,ean13,standard,2 SAIA 8,2
535,280045100049,QJ49,8,40,,0,1,1,35,ean13,standard,2 SAIA 8,2
536,240045100050,QJ50,8,50,,0,1,1,17,ean13,standard,1 SAIA MIDI C BOLSO PLUS 8,2
537,240045100051,QJ51,8,45,,0,1,1,108,ean13,standard,2 SAIA LISA 8,2
538,235045100052,QJ52,8,35,,0,1,1,2,ean13,standard,2 BERMUDA 8,2
539,270045100056,QJ56,8,40,,0,1,1,4,ean13,standard,2 SAIA 8,2
540,240065100058,QJ58,8,35,,0,1,1,0,ean13,standard,2 BERMUDA 8,2
541,250045100065,QJ65,8,40,,0,1,1,55,ean13,standard,2 SAIA 8,2
542,120201910301,QW301,8,15,,0,1,1,1,ean13,standard,1 MANGA LONGA GOLA 8,2
543,285117500001,RP01,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
544,255107500002,RP02,8,50,,0,1,1,77,ean13,standard,1 BLUSA ESTAMPA 8,2
545,295117500003,RP03,8,50,,0,1,1,61,ean13,standard,1 BLUSA LISA 8,2
